,Temperature,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Windspeed
rikitea,76.75,76.75,-23.12,-134.97,82.0,100.0,4.65
praia da vitoria,66.2,66.2,38.73,-27.07,88.0,20.0,16.22
katsuura,69.69,70.0,35.13,140.3,78.0,89.0,3.0
mahajanga,75.33,75.33,-15.72,46.32,71.0,4.0,8.43
qaanaaq,27.1,27.1,77.48,-69.36,92.0,0.0,1.63
puerto ayora,75.99,75.99,-0.74,-90.35,89.0,66.0,3.0
kropachevo,39.56,39.56,55.01,57.99,90.0,100.0,1.14
evensk,42.12,42.12,61.95,159.23,66.0,26.0,13.02
vaini,77.0,77.0,-21.2,-175.2,78.0,75.0,6.93
butaritari,83.75,83.75,3.07,172.79,77.0,0.0,14.25
pozo colorado,61.47,61.47,-23.49,-58.8,44.0,0.0,4.45
japura,76.57,76.57,-0.32,102.35,96.0,98.0,2.21
faanui,82.13,82.13,-16.48,-151.75,74.0,21.0,8.86
cidreira,62.49,62.49,-30.18,-50.21,68.0,0.0,11.63
kalmunai,80.06,80.06,7.42,81.82,86.0,96.0,5.46
provideniya,42.64,42.64,64.38,-173.3,61.0,97.0,5.97
bo phloi,82.26,82.26,14.32,99.52,75.0,99.0,4.9
padang,81.0,81.0,-0.95,100.35,78.0,100.0,4.61
punta arenas,41.0,41.0,-53.15,-70.92,93.0,75.0,14.99
lagoa,62.51,62.51,39.05,-27.98,94.0,100.0,13.15
rocha,65.48,65.48,-34.48,-54.33,59.0,0.0,14.12
cape town,48.2,48.2,-33.93,18.42,93.0,13.0,2.24
clyde river,23.0,23.0,70.47,-68.59,79.0,1.0,9.17
bluff,51.71,51.71,-46.6,168.33,79.0,58.0,8.63
ushuaia,36.61,36.61,-54.8,-68.3,82.0,92.0,5.86
ahipara,63.7,63.7,-35.17,173.17,66.0,5.0,7.0
komsomolskiy,57.2,57.2,40.43,71.72,71.0,0.0,4.7
robertson,79.95,80.6,36.52,-86.87,47.0,1.0,2.42
jamestown,63.37,64.4,42.1,-79.24,52.0,1.0,5.82
aranos,58.87,58.87,-24.13,19.12,34.0,0.0,6.85
port elizabeth,48.2,48.2,-33.92,25.57,100.0,3.0,3.36
mataura,53.71,53.71,-46.19,168.86,61.0,0.0,1.34
avarua,84.2,84.2,-21.21,-159.78,70.0,40.0,12.75
olinda,77.0,77.0,-8.01,-34.86,94.0,24.0,2.24
yellowknife,33.4,33.8,62.46,-114.35,47.0,75.0,14.99
pacific grove,70.05,71.6,36.62,-121.92,46.0,1.0,11.41
dikson,30.33,30.33,73.51,80.55,97.0,97.0,9.86
hasaki,68.72,70.0,35.73,140.83,88.0,75.0,5.82
new norfolk,50.81,52.0,-42.78,147.06,81.0,28.0,2.37
palana,38.07,38.07,59.12,159.97,76.0,96.0,10.8
maceio,78.8,78.8,-9.67,-35.74,83.0,75.0,4.7
hilo,76.8,82.4,19.73,-155.09,58.0,90.0,10.29
kyzyl-suu,49.26,49.26,42.34,78.0,77.0,94.0,2.19
esmeraldas,64.4,64.4,-19.76,-44.31,93.0,75.0,6.93
bengkulu,78.51,78.51,-3.8,102.27,82.0,100.0,4.21
saint george,88.11,90.0,37.1,-113.58,13.0,1.0,13.87
namatanai,85.55,85.55,-3.67,152.43,72.0,22.0,5.35
tura,72.84,72.84,25.52,90.22,92.0,0.0,4.14
busselton,45.3,52.0,-33.65,115.33,58.0,100.0,7.83
cherskiy,51.3,51.3,68.75,161.3,43.0,0.0,10.38
albany,67.55,70.0,42.6,-73.97,50.0,60.0,3.85
somondoco,62.58,62.58,4.99,-73.44,80.0,34.0,0.74
urumqi,69.8,69.8,43.8,87.6,40.0,100.0,4.47
nikolskoye,37.99,39.2,59.7,30.79,86.0,75.0,8.95
labuhan,79.32,79.32,-6.88,112.21,86.0,61.0,8.88
kaeo,62.98,64.0,-35.1,173.78,3.0,68.0,3.0
hermanus,55.0,55.0,-34.42,19.23,77.0,11.0,1.99
tautira,86.0,86.0,-17.73,-149.15,70.0,40.0,10.29
hobart,51.84,53.6,-42.88,147.33,66.0,20.0,5.82
beringovskiy,31.8,31.8,63.05,179.32,97.0,100.0,14.45
dicabisagan,84.24,84.24,17.08,122.42,76.0,43.0,12.15
bambous virieux,71.78,72.0,-20.34,57.76,88.0,40.0,4.7
saint-philippe,65.3,71.6,-21.36,55.77,78.0,20.0,5.82
khatanga,37.53,37.53,71.97,102.5,85.0,84.0,14.74
atuona,81.01,81.01,-9.8,-139.03,78.0,9.0,16.2
kichera,43.47,43.47,55.94,110.1,65.0,85.0,2.1
jutai,73.69,73.69,-5.18,-68.9,93.0,100.0,1.05
broken hill,51.8,51.8,-31.95,141.43,76.0,0.0,3.36
ilulissat,30.2,30.2,69.22,-51.1,100.0,0.0,3.36
kodiak,51.8,51.8,57.79,-152.41,76.0,90.0,5.82
fortuna,60.06,62.01,40.6,-124.16,93.0,90.0,14.99
menongue,54.5,54.5,-14.66,17.69,57.0,0.0,3.71
east london,60.06,60.06,-33.02,27.91,61.0,49.0,9.6
coquimbo,55.4,55.4,-29.95,-71.34,93.0,20.0,6.93
pailon,69.8,69.8,-17.65,-62.75,68.0,0.0,4.7
broome,61.54,64.0,42.25,-75.83,55.0,1.0,8.05
bridlington,49.64,50.0,54.08,-0.19,76.0,72.0,9.17
vardo,32.97,32.97,70.37,31.11,96.0,100.0,6.49
maunatlala,54.34,54.34,-22.6,27.63,91.0,18.0,6.85
muisne,82.4,82.4,0.6,-80.03,83.0,75.0,9.17
plouzane,46.47,48.2,48.38,-4.62,87.0,37.0,5.82
san jose,75.11,77.0,37.34,-121.89,41.0,75.0,17.22
novikovo,44.85,44.85,51.15,37.89,88.0,20.0,7.9
nanortalik,40.26,40.26,60.14,-45.24,81.0,100.0,7.56
tuktoyaktuk,26.6,26.6,69.45,-133.04,86.0,90.0,12.75
joshimath,53.58,53.58,30.57,79.57,36.0,2.0,7.47
moerai,80.01,80.01,-22.43,-151.33,84.0,4.0,22.17
thompson,60.8,60.8,55.74,-97.86,26.0,40.0,8.05
uchaly,42.89,42.89,54.3,59.45,85.0,98.0,4.81
harper,80.85,80.85,4.38,-7.72,84.0,99.0,5.93
humberto de campos,76.42,76.42,-2.6,-43.46,90.0,100.0,4.0
severo-kurilsk,35.83,35.83,50.68,156.12,93.0,100.0,15.99
ouadda,70.97,70.97,8.08,22.4,85.0,100.0,2.93
rotifunk,79.3,79.3,8.23,-12.68,89.0,70.0,2.66
orapa,58.14,58.14,-21.28,25.37,41.0,8.0,14.0
brae,44.6,44.6,60.4,-1.35,83.0,100.0,21.92
souillac,71.6,71.6,-20.52,57.52,88.0,40.0,4.7
launceston,54.25,55.0,-41.45,147.17,81.0,18.0,8.05
kirakira,85.95,85.95,-10.45,161.92,73.0,9.0,7.29
yanam,81.99,81.99,16.73,82.22,85.0,100.0,3.76
chapais,50.0,50.0,49.78,-74.85,96.0,20.0,6.93
warwick,60.01,61.0,41.7,-71.42,72.0,20.0,10.29
sola,81.01,81.01,-13.88,167.55,82.0,97.0,18.43
lorica,87.8,87.8,9.24,-75.81,70.0,75.0,11.41
saint anthony,55.6,57.99,45.02,-93.22,87.0,90.0,9.17
baherden,72.37,72.37,38.44,57.43,32.0,19.0,2.86
tiksi,26.01,26.01,71.69,128.87,98.0,79.0,7.52
atar,75.94,75.94,20.52,-13.05,19.0,0.0,10.2
sitka,60.8,60.8,57.05,-135.33,55.0,40.0,10.29
ponta do sol,60.57,62.6,32.67,-17.1,59.0,40.0,8.05
lavrentiya,31.75,31.75,65.58,-171.0,96.0,14.0,8.01
upernavik,30.09,30.09,72.79,-56.15,97.0,6.0,10.71
berlevag,32.97,32.97,70.86,29.09,95.0,100.0,9.8
najran,78.8,78.8,17.49,44.13,26.0,3.0,3.29
kruisfontein,48.52,48.52,-34.0,24.73,72.0,0.0,2.77
porto nacional,80.6,80.6,-10.71,-48.42,88.0,20.0,2.24
russell,83.52,86.0,32.35,-85.2,40.0,20.0,9.17
perpignan,58.51,59.0,42.75,2.75,77.0,98.0,10.29
batagay-alyta,35.17,35.17,67.8,130.41,87.0,86.0,1.05
tasiilaq,37.4,37.4,65.61,-37.64,59.0,48.0,8.05
muncar,80.58,80.58,-8.43,114.33,87.0,67.0,9.55
zherdevka,42.35,42.35,51.85,41.46,81.0,0.0,8.23
